college_name,links
Acharya Narendra Dev College,http://andcollege.du.ac.in/ 
Aditi Mahavidyalaya,http://www.amv94.org/ 
Ahilya Bai College of Nursing,http://www.abconduadmission.in/ 
Amar Jyoti Institute of Physiotherapy,http://www.ajipt.org/ 
Aryabhatta College(Formally Ram Lal Anand College-Evg.),http://aryabhattacollege.ac.in/ 
Atma Ram Sanatan Dharma College,http://arsdcollege.ac.in/ 
Ayurvedic & Unani Tibia College,http://google.com/hasjd
Bhagini Nivedita College,http://www.bhagininiveditacollege.in/ 
Bharti College,https://www.bharaticollege.org/ 
Bhaskaracharya College of Applied Sciences,http://www.bcas.du.ac.in/ 
Bhim Rao Ambedkar College,http://www.drbrambedkarcollege.ac.in/ 
Chacha Nehru Bal Chikitsalaya,http://www.cnbchospital.in/ 
College of Nursing at Army Hospital (R&R),http://google.com/hasjd
Delhi Institute of Pharmaceutical Sciences and Research,http://www.dipsar.ac.in/ 
Deshbandhu College(Morning),http://www.deshbandhucollege.ac.in/ 
Durga Bai Deshmukh College of Special Edu.(VI),http://www.durgabaideshmukhcollege.org/ 
Dyal Singh College,http://www.dsc.du.ac.in/ 
Dyal Singh College (Evening),http://www.dsc.du.ac.in/ 
Gargi College,http://gargi.du.ac.in/ 
Hans Raj College,http://www.hansrajcollege.ac.in/ 
Hindu College,http://www.hinducollege.ac.in/ 
Holy Family College of Nursing,http://google.com/hasjd
Indira Gandhi Institute of Physical Education & Sports Sciences,http://igipess1.du.ac.in:8080/web/home_page.jsp 
Indraprastha College for Women,http://www.ipcollege.ac.in/ 
Institute of Home Economics,http://www.ihe-du.com/ 
Janki Devi Memorial College,http://jdm.du.ac.in/ 
Jesus & Mary College,http://www.jmc.ac.in/ 
Kalindi College for Women,http://kalindi.du.ac.in/ 
Kamla Nehru College for Women,http://www.knc.edu.in/ 
Keshav Mahavidyalaya,http://keshav.du.ac.in/ 
Kirori Mal College,http://www.kmcollege.ac.in/ 
Lady Hardinge Medical College,http://fmsc.ac.in/lady.htm 
Lady Irwin College,http://www.ladyirwin.edu.in/index.aspx 
Lady Shri Ram College for Women,http://google.com/hasjd
Lakshmi Bai College for Women,https://lakshmibaicollege.in/ 
Maharaja Agarsen College,http://mac.du.ac.in/ 
Maharshi Valmiki College of Education,http://www.mvce.ac.in/ 
Maitreyi College for Women,http://maitreyi.ac.in/ 
Mata Sundri College for Women,http://www.ms.du.ac.in/ 
Maulana Azad Institute of Dental Sciences,http://www.maids.ac.in/ 
Maulana Azad Medical College,http://www.mamc.ac.in/ 
Miranda House,http://www.mirandahouse.ac.in/ 
Moti Lal Nehru College,http://www.mlncdu.ac.in/ 
Moti Lal Nehru College (Evening),http://www.mlnce.org/ 
Nehru Homeopathic Medical College &  Hospital,http://nhmc.delhigovt.nic.in/ 
Netaji Subhash Institute of Technology,http://www.nsit.ac.in/ 
P.G.D.A.V. College,http://pgdavcollege.edu.in/ 
P.G.D.A.V. College (Evening),http://www.pgdaveve.in/ 
Pt. Deendayal Upadhyaya Institute of Physically Handicapped,http://iphnewdelhi.in/Home.aspx?ReturnUrl=%2f 
Rajdhani College,http://www.rajdhanicollege.ac.in/ 
Rajkumari Amrit Kaur College of Nursing,http://rakcon.com/ 
Ram Lal Anand College,https://rlacollege.edu.in/ 
Ramanujan College,http://112.196.154.188/ramanujan/ 
Ramjas College,http://ramjas.du.ac.in/ 
Satyawati College,http://satyawati.du.ac.in/ 
Satyawati College (Evening),http://satyawatievedu.ac.in/ 
School of Open Learning ( Erstwhile School of Correspondence &  Continuing Education),https://sol.du.ac.in/welcome/english.php 
School of Rehabilitation Sciences,https://srs-mcmaster.ca/ 
Shaheed Bhagat Singh College,http://www.sbsc.in/ 
Shaheed Bhagat Singh College (Evening),http://www.sbsec.org/ 
Shaheed Rajguru College of Applied Sciences for Women,http://www.rajgurucollege.com/ 
Shaheed Sukhdev College of Business Studies,http://sscbs.du.ac.in/ 
Shivaji College,http://www.shivajicollege.ac.in/ 
Shri Ram College of Commerce,http://www.srcc.edu/ 
Shyam Lal College,http://www.shyamlal.du.ac.in/ 
Shyam Lal College (Evening),http://shyamlale.du.ac.in/ 
Shyama Prasad Mukherji College for Women,http://spm.du.ac.in/index.php?lang=en 
Sri Aurobindo College,http://www.aurobindo.du.ac.in/ 
Sri Aurobindo College (Evening),https://www.saceve.in/ 
Sri Guru Gobind Singh College of Commerce,http://www.sggscc.ac.in/ 
Sri Guru Nanak Dev Khalsa College,http://sgndkc.org/ 
Sri Guru Tegh Bahadur Khalsa College,http://www.sgtbkhalsadu.ac.in/ 
Sri Venkateswara College,http://www.svc.ac.in/ 
St. Stephen's College,https://www.ststephens.edu/ 
Swami Shraddhanand College,http://www.ssncollege.com/ 
University College of Medical Sciences,http://www.ssncollege.com/ 
Vallabhbhai Patel Chest Institute,http://www.vpci.org.in/ 
Vivekananda College,http://vivekanandacollege.edu.in/ 
Zakir Husain Delhi College,http://www.zakirhusaindelhicollege.ac.in/ 
Zakir Husain Post Graduate Evening College,http://www.zakirhusainpgeve.in/ 
National Institute of Health &  Family Welfare,http://www.nihfw.org/ 
Kasturba Hospital,https://www.nhp.gov.in/hospital/kasturba-gandhi-hospital-central-delhi 
Institute of Human Behaviour &  Allied Sciences,http://www.ihbas.delhigovt.nic.in/ 
G.B. Pant Hospital,http://gbpant.delhigovt.nic.in/ 
All India Institute of Ayurveda,http://www.aiia.co.in/ 
